subject,trial,null,pic_id,act_x,act_y,est_x,est_y,correct,distance,rt,day,condition,act_quad,est_quad,quad_diff
VRTag_008,8,1,2,1421.865,459.4069,847,704,0,624.7364,2.216622,1,video,1,1,0
VRTag_008,9,1,35,1126.423,163.6415,958,675,0,538.3809,2.333259,1,video,1,1,0
VRTag_008,10,1,38,918.41,477.2865,1191,280,0,336.4926,3.066544,1,video,1,1,0
VRTag_008,11,1,9,1165,498.1905,1095,709,0,222.1277,3.083256,1,video,1,1,0
VRTag_008,12,1,8,1159.416,940.4337,640,372,0,770.0062,2.433249,1,video,4,1,3
VRTag_008,13,1,30,1133.573,322.6012,448,706,0,785.497,4.766571,1,video,1,1,0
VRTag_008,14,1,10,1063.977,649.8731,1137,338,0,320.3079,3.499897,1,video,1,1,0
VRTag_008,15,1,27,1292.815,536.9986,573,233,0,781.3758,3.366625,1,video,1,1,0
VRTag_008,16,1,5,1101.34,132.1156,1092,156,1,25.64555,4.266559,1,video,1,1,0
VRTag_008,17,1,7,904.0121,676.053,1343,538,0,460.1837,3.04996,1,video,1,1,0
VRTag_008,18,1,36,1247.47,707.8422,868,537,0,416.1548,4.549958,1,video,1,1,0
VRTag_008,19,1,29,1335.442,154.9955,1345,777,0,622.0779,2.749974,1,video,1,4,-3
VRTag_008,20,1,37,768.893,311.8297,1360,873,0,815.058,2.416611,1,video,1,4,-3
VRTag_008,21,1,44,1050.814,167.9891,806,410,0,344.2426,2.166617,1,video,1,1,0
VRTag_008,22,1,24,947.8728,799.7992,1277,813,0,329.3918,2.566539,1,video,4,4,0
VRTag_008,23,1,43,1281.87,882.432,1149,260,0,636.4558,2.399902,1,video,4,1,3
VRTag_008,24,1,23,675.9123,298.6475,1352,121,0,699.0373,2.09995,1,video,3,3,0
VRTag_009,1,1,24,731.1223,259.4339,1090,219,0,361.1484,7.349874,1,video,3,3,0
VRTag_009,2,1,3,1259.43,563.9661,724,680,0,547.8588,6.849911,1,video,1,1,0
VRTag_009,3,1,39,639.7861,514.2467,1237,682,0,620.327,3.399929,1,video,3,3,0
VRTag_009,4,1,43,1104.347,127.3436,581,465,0,622.8192,2.69992,1,video,1,1,0
VRTag_009,5,1,38,1371.217,328.4903,686,304,0,685.6542,4.549904,1,video,1,1,0
VRTag_009,6,1,9,1132.97,483.9225,1210,329,1,173.0162,3.533291,1,video,1,1,0
VRTag_009,7,1,28,727.7277,731.2601,1236,772,0,509.9024,2.833288,1,video,3,2,1
VRTag_009,8,1,18,561.7796,157.306,1191,199,0,630.6003,4.133303,1,video,3,3,0
VRTag_009,9,1,23,790.1259,807.3013,1093,242,0,641.3254,2.99988,1,video,4,1,3
VRTag_009,10,1,29,1248.002,347.4494,1083,435,1,186.7908,2.249919,1,video,1,1,0
VRTag_009,11,1,30,1458.257,167.076,858,663,0,778.6203,4.099926,1,video,1,1,0
VRTag_009,12,1,42,896.8325,807.417,1174,424,0,473.1072,8.116561,1,video,4,1,3
VRTag_009,13,1,44,1374.724,648.6784,800,566,0,580.6404,5.199912,1,video,1,1,0
VRTag_009,14,1,7,1255.616,717.6139,1208,208,0,511.8335,2.366564,1,video,1,1,0
VRTag_009,15,1,10,627.6132,331.733,602,838,0,506.9145,3.949857,1,video,3,2,1
VRTag_009,16,1,27,1281.307,169.6921,1186,418,0,265.9706,4.233185,1,video,1,1,0
VRTag_009,17,1,2,1229.408,327.6952,1214,647,0,319.6763,3.46657,1,video,1,1,0
VRTag_009,18,1,35,481.7891,822.5664,949,656,0,496.0145,2.199896,1,video,2,3,-1
VRTag_009,19,1,8,667.9943,874.3482,589,632,0,254.8975,2.849956,1,video,2,3,-1
VRTag_009,20,1,4,728.3154,713.6603,620,213,0,512.2431,7.233224,1,video,3,3,0
VRTag_009,21,1,5,1188.784,116.1408,739,675,0,717.3763,2.083275,1,video,1,1,0
VRTag_009,22,1,25,712.867,620.3439,448,140,0,548.5297,2.099946,1,video,3,3,0
VRTag_009,23,1,37,1339.972,875.2115,917,626,0,490.9298,6.866594,1,video,4,1,3
VRTag_009,24,1,36,480.4714,126.4626,922,633,0,671.958,2.199888,1,video,3,3,0
VRTag_014,1,1,30,994.1273,356.8898,603,457,0,403.7358,2.692557,1,video,1,1,0
VRTag_014,2,1,4,1200.574,755.5924,1304,340,0,428.2686,3.716599,1,video,4,1,3
VRTag_014,3,1,27,1034.346,612.0095,838,388,0,297.8792,5.083071,1,video,1,1,0
VRTag_014,4,1,42,670.2504,858.0984,1299,873,0,628.9262,2.033246,1,video,2,2,0
VRTag_014,5,1,23,1167.485,178.8664,562,516,0,693.0162,2.783224,1,video,1,1,0
VRTag_014,6,1,35,1264.883,473.7692,1264,633,1,159.2333,1.98322,1,video,1,1,0
VRTag_014,7,1,38,925.8889,349.5766,866,371,1,63.60533,2.049927,1,video,1,1,0
VRTag_014,8,1,2,755.4427,358.0251,1347,314,0,593.1933,3.69996,1,video,1,1,0
VRTag_014,9,1,10,1111.088,429.4949,1049,202,0,235.8153,1.783227,1,video,1,1,0
VRTag_014,10,1,24,994.7312,906.9215,961,538,0,370.4603,2.74991,1,video,4,1,3
VRTag_014,11,1,37,1291.859,798.045,1324,457,0,342.5562,3.683258,1,video,4,1,3
VRTag_014,12,1,18,985.7252,483.8568,973,522,1,40.20988,2.633226,1,video,1,1,0
VRTag_014,13,1,3,1329.478,490.7432,1152,773,0,333.4175,3.683332,1,video,1,4,-3
VRTag_014,14,1,9,1044.748,285.5551,997,758,0,474.8517,2.299935,1,video,1,4,-3
VRTag_014,15,1,8,758.8978,152.6964,1226,380,0,519.4722,2.749922,1,video,1,1,0
VRTag_014,16,1,7,1394.985,383.0158,1345,174,0,214.9095,2.43323,1,video,1,1,0
VRTag_014,17,1,43,795.3649,522.5712,803,332,1,190.724,9.283156,1,video,1,1,0
VRTag_014,18,1,5,1337.954,778.7805,1037,616,0,342.156,2.899936,1,video,4,1,3
VRTag_014,19,1,28,1368.176,179.4219,1347,453,0,274.3965,8.133184,1,video,1,1,0
VRTag_014,20,1,29,1314.381,268.2895,1291,786,0,518.2382,1.933288,1,video,1,4,-3
VRTag_014,21,1,36,553.8179,504.9114,618,270,0,243.5215,3.59993,1,video,3,3,0
VRTag_014,22,1,44,1102.191,372.9619,871,411,0,234.2991,6.899877,1,video,1,1,0
VRTag_014,23,1,25,1259.27,659.6687,956,519,0,334.3057,1.899916,1,video,1,1,0
VRTag_014,24,1,39,849.4844,605.4849,479,506,0,383.6091,5.183202,1,video,1,1,0
VRTag_015,1,1,15,925.5564,162.3567,1403,246,0,484.715,3.725473,1,video,1,1,0
VRTag_015,2,1,34,1215.115,409.2355,1435,931,0,566.2047,3.016567,1,video,1,4,-3
VRTag_015,3,1,13,1339.824,953.6029,1264,652,0,310.988,6.399761,1,video,4,1,3
VRTag_015,4,1,40,1044.123,159.0218,739,569,0,511.0599,2.233259,1,video,1,1,0
VRTag_015,5,1,31,1471.695,270.0328,1134,821,0,646.2219,2.54987,1,video,1,4,-3
VRTag_015,6,1,45,1465.103,132.6368,868,747,0,856.7227,4.966507,1,video,1,1,0
VRTag_015,7,1,18,1268.563,660.4636,1388,157,0,517.4369,2.883283,1,video,1,1,0
VRTag_015,8,1,48,827.4054,722.9087,605,881,0,272.8681,2.699901,1,video,1,4,-3
VRTag_015,9,1,6,1319.856,549.9797,1399,300,0,262.209,2.633247,1,video,1,1,0
VRTag_015,10,1,46,1090.503,712.572,719,640,0,378.5254,5.116556,1,video,1,1,0
VRTag_015,11,1,20,546.0842,429.8611,1144,176,0,649.5759,2.483256,1,video,3,3,0
VRTag_015,12,1,32,1398.952,254.9399,1144,912,0,704.7895,2.799871,1,video,1,4,-3
VRTag_015,13,1,17,1400.305,737.6677,1177,365,0,434.4494,4.016598,1,video,1,1,0
VRTag_015,14,1,22,957.5281,169.9484,848,574,0,418.6336,1.999854,1,video,1,1,0
VRTag_015,15,1,47,685.6033,327.9043,632,709,0,384.8471,3.399896,1,video,3,3,0
VRTag_015,16,1,26,1299.872,602.6307,706,365,0,639.6501,4.433212,1,video,1,1,0
VRTag_015,17,1,41,980.1499,925.9067,1303,717,0,384.5442,4.233176,1,video,4,1,3
VRTag_015,18,1,33,1175.006,773.1599,498,855,0,681.935,3.033255,1,video,4,4,0
VRTag_015,19,1,1,619.405,743.7897,1352,914,0,752.1083,2.583188,1,video,3,2,1
VRTag_015,20,1,16,1108.547,776.7239,968,162,0,630.5862,2.599896,1,video,4,1,3
VRTag_015,21,1,14,1344.527,350.0295,1348,277,1,73.11208,5.199936,1,video,1,1,0
VRTag_015,22,1,21,742.0589,379.9562,507,177,0,310.5542,2.366589,1,video,3,3,0
VRTag_015,23,1,11,1320.223,645.7347,1254,700,1,85.61629,2.449883,1,video,1,1,0
VRTag_015,24,1,12,1313.786,709.4543,1413,375,0,348.8597,2.399916,1,video,1,1,0
VRTag_016,1,1,9,1057.188,366.9492,554,219,0,524.4875,5.341396,1,video,1,1,0
VRTag_016,2,1,7,697.6869,368.9399,434,411,0,267.0203,3.249906,1,video,3,3,0
VRTag_016,3,1,28,1336.19,961.8056,1472,861,1,169.1331,2.216506,1,video,4,4,0
VRTag_016,4,1,10,688.023,279.5538,1500,442,0,828.0673,2.099886,1,video,3,3,0
VRTag_016,5,1,18,1067.055,922.0802,1071,851,1,71.18955,2.299944,1,video,4,4,0
VRTag_016,6,1,24,488.9012,461.9697,691,420,0,206.4107,1.583215,1,video,3,3,0
VRTag_016,7,1,27,799.5141,730.2305,952,414,0,351.0751,2.183236,1,video,1,1,0
VRTag_016,8,1,35,1219.205,579.1269,1387,323,0,306.1962,2.283268,1,video,1,1,0
VRTag_016,9,1,4,860.8742,172.6422,847,845,0,672.5009,1.849914,1,video,1,4,-3
VRTag_016,10,1,38,662.1334,838.4475,594,743,1,117.2705,2.399925,1,video,2,3,-1
VRTag_016,11,1,36,1273.672,870.998,1209,659,0,221.6429,1.649952,1,video,4,1,3
