subject,day 1 distance,day 2 distance,day 1 rt,day 2 rt,dist difference,rt difference,condition,
0,VRTag_013,541.7019442,438.1464075,4.0049875,4.10171875,-103.5555367,0.09673125,TRUE
0,VRTag_032,572.607085,485.3035917,4.787801458,4.959264917,-87.30349333,0.171463458,TRUE
0,VRTag_026,451.5980367,427.5058304,2.243988875,2.050609125,-24.09220625,-0.19337975,TRUE
0,VRTag_021,462.9373288,414.3231037,3.780469625,3.972105875,-48.61422504,0.19163625,TRUE
0,VRTag_035,406.3648708,485.7431433,2.600272625,3.412194792,79.3782725,0.811922167,TRUE
0,VRTag_014,346.7000254,450.6292771,3.578763875,4.184628958,103.9292517,0.605865083,TRUE
0,VRTag_042,422.24976,495.99265,3.965894042,4.553374708,73.74289,0.587480667,TRUE
0,VRTag_038,543.5299838,440.8513958,4.066609708,4.554086875,-102.6785879,0.487477167,TRUE
0,VRTag_019,497.2250708,449.7050155,4.276981458,4.985316333,-47.52005538,0.708334875,TRUE
0,VRTag_012,489.5287558,515.0109621,4.95921575,6.233561375,25.48220625,1.274345625,TRUE
0,VRTag_006,502.1043375,466.8205138,6.151950167,8.449889042,-35.28382375,2.297938875,TRUE
0,VRTag_027,502.2565792,467.6282833,2.529446917,3.146432958,-34.62829583,0.616986042,TRUE
0,VRTag_033,454.0895596,366.70679,2.7950545,3.853395375,-87.38276958,1.058340875,TRUE
0,VRTag_044,447.1470821,532.9479917,3.849122542,6.490929625,85.80090958,2.641807083,TRUE
>>>>>>> 3d3e55e2c7c3b05b88fbb285628228d9a6144a92,,,,,,,,
